name,value,units
height,180.57000000000002,cm
chestGirth,119.38625188739951,cm
waistGirth,112.16532992024159,cm
hipGirth,116.07236663134657,cm
rThighGirth,67.16165235266972,cm
lThighGirth,66.16953868839302,cm
rCalfGirth,44.311855022589135,cm
lCalfGirth,41.75320595989274,cm
rAnkleGirth,25.00923419217124,cm
lAnkleGirth,29.10149927668384,cm
rBicepGirth,40.241552565050995,cm
lBicepGirth,40.207060314846565,cm
rForearmGirth,34.664180848801884,cm
lForearmGirth,31.511340353651203,cm
rWristGirth,26.13123960240326,cm
lWristGirth,21.53704462980552,cm
rArmLength,45.82962214299258,cm
lArmLength,47.13426524626141,cm
rLegLength,88.19134998269162,cm
lLegLength,88.1713747822975,cm
trunkLength,68.20698968369656,cm
crotchHeight,74.54275538210969,cm
collarScalpLength,174.27187179806157,cm
SA_total,22207.36954214589,cm^2
SA_head,2567.5472244483494,cm^2
SA_trunk,7679.936833980348,cm^2
SA_rArm,2156.248574010659,cm^2
SA_lArm,2081.574099951067,cm^2
SA_rleg,4299.725027604161,cm^2
SA_lleg,4306.623488016127,cm^2
VOL_total,112000.82380700004,cm^3
VOL_head,9431.432770908357,cm^3
VOL_trunk,62177.66698386382,cm^3
VOL_rArm,5656.411145587923,cm^3
VOL_lArm,5317.545031223299,cm^3
VOL_rleg,14983.703315833323,cm^3
VOL_lleg,14434.064559583328,cm^3
rAnkleGirth_fixed,29.10149927668384,cm
lAnkleGirth_fixed,25.00923419217124,cm
trunkLength_fixed,73.17619136317755,cm
collarScalpLength_fixed,33.07632725983947,cm
