name,value,units
height,164.4,cm
chestGirth,106.4334895117655,cm
waistGirth,113.91806325452247,cm
hipGirth,120.29086386251163,cm
rThighGirth,62.238144802190654,cm
lThighGirth,61.732045426252434,cm
rCalfGirth,38.7405363645698,cm
lCalfGirth,38.9931669507562,cm
rAnkleGirth,29.90486473365324,cm
lAnkleGirth,31.650254403784494,cm
rBicepGirth,36.406947201631795,cm
lBicepGirth,37.96917546570551,cm
rForearmGirth,26.370700124417013,cm
lForearmGirth,30.83901994316259,cm
rWristGirth,19.390276537621357,cm
lWristGirth,24.00821248976517,cm
rArmLength,39.744999571193645,cm
lArmLength,39.242210227147154,cm
rLegLength,86.48367238054202,cm
lLegLength,86.49366124750264,cm
trunkLength,73.34601967259108,cm
crotchHeight,77.07888182944859,cm
collarScalpLength,160.67238040497193,cm
SA_total,18977.73906282268,cm^2
SA_head,1891.0080220841837,cm^2
SA_trunk,5961.9764004639455,cm^2
SA_rArm,1586.7179127104525,cm^2
SA_lArm,1756.5710419961022,cm^2
SA_rleg,4393.670832310026,cm^2
SA_lleg,4102.46004549406,cm^2
VOL_total,87512.98343500018,cm^3
VOL_head,6178.485015108825,cm^3
VOL_trunk,45800.28832964196,cm^3
VOL_rArm,3429.079526545496,cm^3
VOL_lArm,4131.898350120546,cm^3
VOL_rleg,14056.115216166683,cm^3
VOL_lleg,13917.116997416651,cm^3
rAnkleGirth_fixed,31.650254403784494,cm
lAnkleGirth_fixed,29.90486473365324,cm
trunkLength_fixed,58.89878042506105,cm
collarScalpLength_fixed,28.4666862314531,cm
