name,value,units
height,156.37,cm
chestGirth,134.02742387819958,cm
waistGirth,139.1923573112931,cm
hipGirth,127.66945767729099,cm
rThighGirth,72.143048896085,cm
lThighGirth,73.49559371921995,cm
rCalfGirth,48.34781561583719,cm
lCalfGirth,47.39368018792845,cm
rAnkleGirth,28.46088554760476,cm
lAnkleGirth,30.098422167732238,cm
rBicepGirth,41.52097585608587,cm
lBicepGirth,42.54584349750069,cm
rForearmGirth,26.527766775330804,cm
lForearmGirth,25.734007719976496,cm
rWristGirth,25.722816009114055,cm
lWristGirth,22.854358653996027,cm
rArmLength,43.37069170430088,cm
lArmLength,44.12284140181093,cm
rLegLength,73.75110136202112,cm
lLegLength,73.74110322909772,cm
trunkLength,57.93871303021069,cm
crotchHeight,64.57727821107635,cm
collarScalpLength,149.70586870593948,cm
SA_total,20358.072302574532,cm^2
SA_head,2349.9094143800685,cm^2
SA_trunk,7822.161958348446,cm^2
SA_rArm,1764.1178967277185,cm^2
SA_lArm,1825.3820972760025,cm^2
SA_rleg,3773.7061755573227,cm^2
SA_lleg,3819.3213888671953,cm^2
VOL_total,120804.66420633359,cm^3
VOL_head,8785.870021652223,cm^3
VOL_trunk,71584.28596741607,cm^3
VOL_rArm,4616.573874176026,cm^3
VOL_lArm,5034.976992755891,cm^3
VOL_rleg,15220.873048000049,cm^3
VOL_lleg,15562.084302333336,cm^3
rAnkleGirth_fixed,30.098422167732238,cm
lAnkleGirth_fixed,28.46088554760476,cm
trunkLength_fixed,61.63257161616267,cm
collarScalpLength_fixed,30.18930812390373,cm
