name,value,units
height,173.63,cm
chestGirth,93.5055311776536,cm
waistGirth,82.87026365708368,cm
hipGirth,97.12150808893061,cm
rThighGirth,56.96907879212502,cm
lThighGirth,57.130423946133774,cm
rCalfGirth,40.721773483321584,cm
lCalfGirth,40.90055307088938,cm
rAnkleGirth,23.90315060002372,cm
lAnkleGirth,26.905296547150158,cm
rBicepGirth,33.87643468906824,cm
lBicepGirth,33.10002984821562,cm
rForearmGirth,27.49556378987889,cm
lForearmGirth,24.5865004258274,cm
rWristGirth,20.44620633031273,cm
lWristGirth,19.735270385401087,cm
rArmLength,47.94220062284219,cm
lArmLength,51.34357624455012,cm
rLegLength,87.7907292448684,cm
lLegLength,87.7807297247449,cm
trunkLength,66.97284156689305,cm
crotchHeight,75.9296341652503,cm
collarScalpLength,164.66000273290413,cm
SA_total,18700.822649692705,cm^2
SA_head,1964.068244035721,cm^2
SA_trunk,5302.685880676466,cm^2
SA_rArm,2135.263399700392,cm^2
SA_lArm,2069.3795778359563,cm^2
SA_rleg,4022.9425067051484,cm^2
SA_lleg,3983.408301389214,cm^2
VOL_total,72939.26625450005,cm^3
VOL_head,6593.120614723207,cm^3
VOL_trunk,32360.211605684384,cm^3
VOL_rArm,4772.802561771394,cm^3
VOL_lArm,4566.521312904359,cm^3
VOL_rleg,12517.272563500072,cm^3
VOL_lleg,12129.337595916633,cm^3
rAnkleGirth_fixed,26.905296547150158,cm
lAnkleGirth_fixed,23.90315060002372,cm
trunkLength_fixed,66.25871561221076,cm
collarScalpLength_fixed,31.45501430614839,cm
