name,value,units
height,174.27,cm
chestGirth,102.57725944303179,cm
waistGirth,107.34534035251404,cm
hipGirth,117.01519449188912,cm
rThighGirth,57.59082632684746,cm
lThighGirth,54.907973255951106,cm
rCalfGirth,39.328844439270355,cm
lCalfGirth,37.357018573942014,cm
rAnkleGirth,23.42383248210795,cm
lAnkleGirth,25.85388723175123,cm
rBicepGirth,43.455415170231234,cm
lBicepGirth,4.949362458025668,cm
rForearmGirth,31.50228142309679,cm
lForearmGirth,14.189329175604819,cm
rWristGirth,20.70565707340226,cm
lWristGirth,14.350419212092843,cm
rArmLength,44.465025812081386,cm
lArmLength,27.25073876345976,cm
rLegLength,86.2171099348682,cm
lLegLength,86.22710964631787,cm
trunkLength,71.24205674722549,cm
crotchHeight,76.46149903109159,cm
collarScalpLength,168.95682658596547,cm
SA_total,18999.806906690585,cm^2
SA_head,1969.8955688114124,cm^2
SA_trunk,7067.0831026465785,cm^2
SA_rArm,2348.633310974684,cm^2
SA_lArm,294.84432070626747,cm^2
SA_rleg,4068.3919734813876,cm^2
SA_lleg,4087.3027456996597,cm^2
VOL_total,76500.15862733334,cm^3
VOL_head,6945.353766805651,cm^3
VOL_trunk,40693.580500080476,cm^3
VOL_rArm,5898.067877567292,cm^3
VOL_lArm,341.80955362987527,cm^3
VOL_rleg,12436.209318333369,cm^3
VOL_lleg,10185.137610916669,cm^3
rAnkleGirth_fixed,25.85388723175123,cm
lAnkleGirth_fixed,23.42383248210795,cm
trunkLength_fixed,49.85336120377807,cm
collarScalpLength_fixed,48.590260855443034,cm
