name,value,units
height,168.86,cm
chestGirth,91.18299590642594,cm
waistGirth,83.36325198404184,cm
hipGirth,108.74607884445123,cm
rThighGirth,57.25329375351251,cm
lThighGirth,55.70781560395278,cm
rCalfGirth,36.174887948155025,cm
lCalfGirth,36.4552439994398,cm
rAnkleGirth,24.29133457427661,cm
lAnkleGirth,25.05839639420157,cm
rBicepGirth,29.832586249604766,cm
lBicepGirth,29.590893707626897,cm
rForearmGirth,22.793108042176534,cm
lForearmGirth,23.779522447729608,cm
rWristGirth,15.137255555761152,cm
lWristGirth,14.017268248999532,cm
rArmLength,49.611554462574475,cm
lArmLength,45.23767382708677,cm
rLegLength,86.75622076384775,cm
lLegLength,86.75622076384775,cm
trunkLength,84.40649315178341,cm
crotchHeight,83.71486041207616,cm
collarScalpLength,169.55263349473523,cm
SA_total,17318.40548758266,cm^2
SA_head,1727.1170688168713,cm^2
SA_trunk,5237.509890286991,cm^2
SA_rArm,1691.8943386390442,cm^2
SA_lArm,1509.4831233001369,cm^2
SA_rleg,3953.496979484632,cm^2
SA_lleg,3887.8293819786563,cm^2
VOL_total,68314.4892211668,cm^3
VOL_head,5442.491957542421,cm^3
VOL_trunk,30577.457199456276,cm^3
VOL_rArm,3499.077173444749,cm^3
VOL_lArm,2980.0335484733587,cm^3
VOL_rleg,13351.52800700002,cm^3
VOL_lleg,12463.901335249988,cm^3
rAnkleGirth_fixed,25.05839639420157,cm
lAnkleGirth_fixed,24.29133457427661,cm
trunkLength_fixed,58.74248567952142,cm
collarScalpLength_fixed,26.421904738303784,cm
