name,value,units
height,183.97000000000003,cm
chestGirth,106.98747171231707,cm
waistGirth,98.72099214712622,cm
hipGirth,109.6004162141501,cm
rThighGirth,62.517499473156036,cm
lThighGirth,62.721168639789475,cm
rCalfGirth,42.66406745805914,cm
lCalfGirth,42.50743651917864,cm
rAnkleGirth,26.26541276424193,cm
lAnkleGirth,29.036607634076745,cm
rBicepGirth,36.60566504383968,cm
lBicepGirth,37.78112208062642,cm
rForearmGirth,28.401180141778937,cm
lForearmGirth,31.840696889364484,cm
rWristGirth,16.386127518938995,cm
lWristGirth,22.290276277909445,cm
rArmLength,53.5464862107223,cm
lArmLength,47.34241884350953,cm
rLegLength,93.85448176615114,cm
lLegLength,93.87448155137884,cm
trunkLength,74.77556538223162,cm
crotchHeight,82.43954833185151,cm
collarScalpLength,176.30908378469897,cm
SA_total,21322.488771260152,cm^2
SA_head,2236.0360296560693,cm^2
SA_trunk,6590.351349415232,cm^2
SA_rArm,1905.7366544554604,cm^2
SA_lArm,2238.699396745583,cm^2
SA_rleg,4658.102445680986,cm^2
SA_lleg,4601.143335647631,cm^2
VOL_total,95322.40183849969,cm^3
VOL_head,7712.873804210664,cm^3
VOL_trunk,46410.623155701054,cm^3
VOL_rArm,4602.8076673526775,cm^3
VOL_lArm,5208.407693485261,cm^3
VOL_rleg,15752.490934916706,cm^3
VOL_lleg,15635.198582833325,cm^3
rAnkleGirth_fixed,29.036607634076745,cm
lAnkleGirth_fixed,26.26541276424193,cm
trunkLength_fixed,69.60654424640659,cm
collarScalpLength_fixed,31.947544897847788,cm
